AllBlack, -0.8425722, -0.92320114, -0.9141086, -0.8231995
AllWhite, 0.85534734, 0.97247297, 0.9434615, 0.8082619
TopBlack, -0.8745173, -0.93681747, 0.9549279, 0.80031765
TopWhite, 0.953255, 0.94292414, -0.91789824, -0.8900033
LeftBlack, -0.83650297, 0.99782544, -0.8642423, 0.9025169
LeftWhite, 0.81785274, -0.84360725, 0.81770813, -0.9363848
SlashBlack, 0.9139847, -0.9382767, -0.8654986, 0.9685948
SlashWhite, -0.97066283, 0.9722354, 0.9074546, -0.82106024
Undefined, -0.8895696, 0.8597642, 0.8619003, 0.9640526
Undefined, 0.87539816, -0.9248544, 0.8916773, 0.8718787
Undefined, 0.96881163, 0.9488153, -0.9073697, 0.80994546
Undefined, 0.96975785, 0.9003709, 0.9017974, -0.9274158
Undefined, 0.8762319, -0.90179104, -0.8715308, -0.82952505
Undefined, -0.94066966, 0.92191803, -0.86200815, -0.99896497
Undefined, -0.905493, -0.9777237, 0.9092148, -0.9170707
Undefined, -0.9069743, -0.9748667, -0.83759904, 0.90228194
AllBlack, -0.82936287, -0.9338677, -0.910748, -0.8934908
AllWhite, 0.8810238, 0.9538456, 0.8146051, 0.9116486
TopBlack, -0.9061481, -0.99236363, 0.9337053, 0.86903745
TopWhite, 0.9362376, 0.8077627, -0.96662694, -0.8136138
LeftBlack, -0.83647925, 0.9380829, -0.8923629, 0.86887175
LeftWhite, 0.9007046, -0.87792957, 0.8803906, -0.9676516
SlashBlack, 0.99775606, -0.86293536, -0.8585596, 0.89767444
SlashWhite, -0.8156396, 0.9746067, 0.96490437, -0.99394494
Undefined, -0.91121626, 0.80508775, 0.98058265, 0.8358902
Undefined, 0.9896229, -0.80830663, 0.8463919, 0.9223863
Undefined, 0.88718593, 0.9598822, -0.923377, 0.948306
Undefined, 0.98821276, 0.9929707, 0.86272734, -0.89773035
Undefined, 0.8110968, -0.89560103, -0.8805914, -0.9688915
Undefined, -0.8825038, 0.96872723, -0.80157727, -0.9514333
Undefined, -0.8534771, -0.94309646, 0.8957347, -0.8180885
Undefined, -0.89528596, -0.91693074, -0.89600897, 0.9315414
AllBlack, -0.8274593, -0.9397603, -0.9578212, -0.9311499
AllWhite, 0.82718, 0.9307368, 0.8239909, 0.8281727
TopBlack, -0.8916909, -0.9699766, 0.9816859, 0.9408224
TopWhite, 0.9545526, 0.93208456, -0.97943884, -0.8047853
